Q2M3X8|PHAR1: 0.1619668670464307
Q3UPL0|SC31A: 0.16196009485671917
P18242|CATD: 0.16182288900017733
Q60870|REEP5: 0.1617127664697667
Q61598|GDIB: 0.1615847945213318
O35678|MGLL: 0.1615735572219516
Q8BZ98|DYN3: 0.16128688616057238
Q8R071|IP3KA: 0.1610168805345893
Q9JLZ3|AUHM: 0.1610036138445139
Q9JI46|NUDT3: 0.16087424041082463
P63037|DNJA1: 0.16058729278544584
P17156|HSP72: 0.16042174168008688
Q9DCZ4|MIC26: 0.16034586424939334
P99027|RLA2: 0.16027647256851196
P63158|HMGB1: 0.16027545121808845
Q91V12|BACH: 0.16012347737948096
Q62048|PEA15: 0.1600113892927766
P49615|CDK5: 0.15953607702006897
Q9CRB9|MIC19: 0.15933642198797315
P70175|DLG3: 0.15908638791491586
Q9QYC0|ADDA: 0.15904652824004495
Q9Z1N5|DX39B: 0.15846224005023637
Q62442|VAMP1: 0.15765821343908706
Q8R5C5|ACTY: 0.15692586544901133
P25444|RS2: 0.15691498263428608
Q99JY8|PLPP3: 0.15667380718514326
Q9D2P8|MOBP: 0.15648312703706324
P62484|ABI2: 0.15632774362651009
P50518|VATE1: 0.15628890693187714
Q8BVQ5|PPME1: 0.15618181445946297
Q8BTG7|NDRG4: 0.15610130115722617
Q8CHP8|PGP: 0.15598363522440195
Q91VR5|DDX1: 0.15573220637937388
Q6ZWV7|RL35: 0.15560690561930338
Q9QXY6|EHD3: 0.15558917013307413
P11881|ITPR1: 0.15556633099913597
Q922D8|C1TC: 0.15550160873681307
Q9CQI6|COTL1: 0.15547880654533708
P62192|PRS4: 0.1554177012294531
P14148|RL7: 0.15532890583078066
P97441|ZNT3: 0.15483226953074336
Q922J6|TSN2: 0.15468703598404926
Q9EPL8|IPO7: 0.15457710437476635
Q9Z268|RASL1: 0.1545310557509462
P80313|TCPH: 0.15437280495340625
P62270|RS18: 0.154332122959507
Q5PR73|DIRA2: 0.15408920225066441
Q9JKR6|HYOU1: 0.1539030202353994
Q9QUM9|PSA6: 0.15388424832296246
Q9CZB0|C560: 0.15374177989239496
Q9WUM3|COR1B: 0.15372237438956896
Q9CXY6|ILF2: 0.153703304938972
P62889|RL30: 0.15365424271052083
Q9JJV2|PROF2: 0.15351405243078864
Q05816|FABP5: 0.15329965576529503
P62141|PP1B: 0.15324167224268118
G5E8K5|ANK3: 0.15313770435750484
P35979|RL12: 0.15294404079516727
Q9DBG6|RPN2: 0.15265557977060476
Q64516|GLPK: 0.15253233443945646
Q91VW3|SH3L3: 0.15241629630327225
Q9QUP5|HPLN1: 0.15235850247942534
P53026|RL10A: 0.15174997256447872
P62331|ARF6: 0.1516129532828927
P62281|RS11: 0.15159047519167265
Q9D8B3|CHM4B: 0.15128822748859724
Q8BGQ7|SYAC: 0.1511189161489407
Q9CR68|UCRI: 0.15099369486172998
P62962|PROF1: 0.15088070183992386
P55012|S12A2: 0.15079766077299914
Q5EBJ4|ERMIN: 0.1506818251994749
P56135|ATPK: 0.15019678324460983
Q9JMG7|HDGR3: 0.1500612881888325
P48758|CBR1: 0.14976781730850536
P11627|L1CAM: 0.14976513447860876
Q8CHC4|SYNJ1: 0.14974004278580344
Q8R191|SNG3: 0.14963163187106454
P46471|PRS7: 0.14948294094453254
P62082|RS7: 0.14919377296852568
P26350|PTMA: 0.14910031824062267
P61961|UFM1: 0.1487806811928749
