Q99N28|CADM3: 335692.7291666665
Q9D8N0|EF1G: 335248.6875
P31230|AIMP1: 333620.8333333333
Q7TMF3|NDUAC: 330743.3229166665
P48453|PP2BB: 328368.640625
P10630|IF4A2: 323766.1614583335
Q6ZQI3|MLEC: 321287.5
Q9JIA1|LGI1: 321022.10937500023
P40336|VP26A: 319604.1666666667
Q9EP69|SAC1: 318191.6666666667
Q9DCS9|NDUBA: 318069.65625
P47708|RP3A: 315989.0208333335
Q60605|MYL6: 315646.875
Q61207|SAP: 315471.864583333
P21619|LMNB2: 314293.4283854167
Q8R366|IGSF8: 312411.5520833335
Q9QZB7|ARP10: 311612.5
P56135|ATPK: 311317.739583333
Q8CG76|ARK72: 308916.6666666667
O89023|TPP1: 307791.6666666667
P70670|NACAM: 307469.510416667
Q3UNH4|GRIN1: 306905.9947916665
Q9DCT2|NDUS3: 306768.5104166665
P80318|TCPG: 306264.21875
Q8BMS1|ECHA: 306145.5520833335
P15532|NDKA: 305936.76041666605
Q9DCW4|ETFB: 305510.4010416665
Q8K1M6|DNM1L: 302491.5833333335
Q9CZW5|TOM70: 300869.2708333335
P08752|GNAI2: 299685.40625
Q9WTT4|VATG2: 299679.3125
Q80YN3|BCAS1: 298058.97916666674
O88712|CTBP1: 297420.1041666665
P20060|HEXB: 296994.6796875
Q9CRB9|MIC19: 296966.80208333326
Q9Z2H5|E41L1: 296651.953125
Q9D1K2|VATF: 296491.3125
Q9R0Y5|KAD1: 295505.0625
P62748|HPCL1: 294485.8307291666
Q64345|IFIT3: 293791.6666666667
Q8BG05|ROA3: 293470.5520833335
Q9D0K2|SCOT1: 293313.3541666665
Q9R0Q7|TEBP: 292610.5677083335
P32037|GTR3: 292477.77083333326
Q80TB8|VAT1L: 292416.6666666667
Q91V41|RAB14: 291936.395833333
Q9CQR2|RS21: 291554.1666666667
Q920I9|WDR7: 291502.1822916665
D3YVF0|AKAP5: 291090.03645833326
Q61137|ASTN1: 290500.0
Q9QVP9|FAK2: 288787.65625
Q9CQC7|NDUB4: 286372.7708333335
Q9JHU4|DYHC1: 284975.15625
Q80XN0|BDH: 284799.921875
Q9WTX5|SKP1: 284151.817708333
Q64521|GPDM: 283240.34374999953
P33175|KIF5A: 281625.0
Q9DC69|NDUA9: 280192.7708333335
P70175|DLG3: 279415.03645833326
P46638|RB11B: 279088.84375
Q8C854|MYEF2: 276292.28125
Q9CR95|NECP1: 276257.515625
Q9Z1Q9|SYVC: 273644.8020833334
P0C7L0|WIPF3: 271772.7187500001
Q9WUK2|IF4H: 269486.875
O54946|DNJB6: 267416.6666666667
Q8BGZ4|CDC23: 266421.5338541666
Q8K596|NAC2: 264552.38020833326
Q9D6J5|NDUB8: 263503.73958333326
Q9CR61|NDUB7: 262665.416666667
P12970|RL7A: 260683.45833333326
P23506|PIMT: 260373.1354166665
Q61831|MK10: 258382.65104166674
Q9Z1T6|FYV1: 258174.44116210935
Q9Z1R2|BAG6: 257750.0
P62830|RL23: 256218.59895833326
P61164|ACTZ: 255869.3020833335
Q9CR21|ACPM: 254123.05208333326
Q8CHH9|SEPT8: 253339.25
O35098|DPYL4: 253089.74479166674
P31650|S6A11: 251956.88541666674
Q9D1P4|CHRD1: 251291.66666666666
Q8VD37|SGIP1: 251280.02604166674
P27661|H2AX: 250583.33333333334
Q8K3J1|NDUS8: 250080.5833333335
P0C0A3|CHMP6: 248866.66666666666
Q6PER3|MARE3: 248751.57291666674
Q8K4G5|ABLM1: 248158.33333333334
P30416|FKBP4: 247953.8684895833
Q99JX3|GORS2: 247295.83333333334
O35526|STX1A: 247007.1770833335
E9Q6P5|TTC7B: 246387.5
O55126|NIPS2: 245620.57291666674
Q5SQX6|CYFP2: 245459.734375
Q9CQA3|SDHB: 244112.9895833335
Q9CQ75|NDUA2: 243484.640625
Q61699|HS105: 243398.2916666665
Q8K0S0|PHYIP: 242616.875
O70492|SNX3: 241979.16666666666
P56959|FUS: 241971.03125
P61226|RAP2B: 241695.62760416674
Q62419|SH3G1: 241575.0
Q9QY76|VAPB: 241281.44270833326
Q80Z24|NEGR1: 241112.9114583335
O89112|LANC1: 240039.99479166674
Q9Z2U1|PSA5: 240000.55208333302
Q61735|CD47: 239729.94791666674
Q9R0H0|ACOX1: 239569.61979166674
Q9R111|GUAD: 236040.21875
Q8VBX6|MPDZ: 234875.0
Q9CQZ6|NDUB3: 234746.98958333337
Q80UG2|PLXA4: 234741.66666666666
Q63912|OMGP: 234145.0
P48036|ANXA5: 233797.7552083335
P62482|KCAB2: 233104.16666666674
Q80TE7|LRRC7: 231926.38541666674
P53994|RAB2A: 230098.3854166665
Q9JLM8|DCLK1: 229269.72916666674
O70251|EF1B: 228499.11979166698
Q8R081|HNRPL: 227641.7708333335
P63321|RALA: 225845.4270833335
Q9JHI5|IVD: 225265.703125
Q62048|PEA15: 224299.25
Q8R0S2|IQEC1: 224027.90104166674
Q8VEK3|HNRPU: 223377.72916666698
Q6GQS1|SCMC3: 223187.5
O54991|CNTP1: 221063.89583333326
Q9QZX7|SRR: 219036.515625
P62242|RS8: 218636.15104166674
Q9CYT6|CAP2: 218026.4635416665
P57780|ACTN4: 217530.046875
Q6P1F6|2ABA: 217302.77083333326
P47738|ALDH2: 215986.03645833326
Q8CIN4|PAK2: 215579.16666666666
Q9ERS2|NDUAD: 214774.26041666674
Q9Z140|CPNE6: 213753.84375
Q8K4Z3|NNRE: 213641.5572916665
Q91WD5|NDUS2: 212472.6927083335
Q11011|PSA: 211212.3645833335
Q8K183|PDXK: 210347.1145833335
P48428|TBCA: 209875.0
Q641P0|ARP3B: 209352.21614583326
Q9ER58|TICN2: 209291.66666666666
P39054|DYN2: 208820.83333333334
P51660|DHB4: 208083.33333333334
Q9DB73|NB5R1: 208054.16666666666
Q8K310|MATR3: 207642.34375
Q922J6|TSN2: 207263.50520833326
P47955|RLA1: 206850.109375
Q9WUA3|PFKAP: 206756.6822916665
A2AVR2|MROH7: 206708.33333333334
Q9D898|ARP5L: 206420.0104166665
O70443|GNAZ: 205981.109375
Q80TL4|PHF24: 205401.328125
P80316|TCPE: 204274.18749999977
Q3THW5|H2AV: 203533.5572916665
Q9JME5|AP3B2: 203183.6041666665
P35980|RL18: 201903.80208333326
P60521|GBRL2: 201829.16666666666
Q921M7|FA49B: 201794.22916666674
Q9JLN9|MTOR: 200269.25781249988
O35678|MGLL: 200050.8645833335
P25444|RS2: 199641.8333333335
Q60668|HNRPD: 199519.0625
Q99KJ8|DCTN2: 199284.734375
P61079|UB2D3: 198975.0
Q8BWT1|THIM: 198858.90625
P63087|PP1G: 198838.875
Q62418|DBNL: 198141.375
Q14BB9|MA6D1: 196811.34635416663
Q9D164|FXYD6: 196741.63020833326
P23242|CXA1: 196379.09375
Q9QZM0|UBQL2: 195535.90104166674
Q8BNY6|NCS1: 195193.07291666674
Q9Z1B3|PLCB1: 194854.21354166674
Q60631|GRB2: 194069.46875
Q0VF58|COJA1: 192916.66666666666
Q80UG5|SEPT9: 192779.58072916663
P56380|AP4A: 192441.66666666666
Q9CZX8|RS19: 192040.19791666674
Q99LY9|NDUS5: 191837.84375
Q9Z218|DPP6: 189891.3333333335
Q6PHZ2|KCC2D: 189616.9427083335
Q810U4|NRCAM: 188944.09895833326
P62835|RAP1A: 188577.35416666663
Q9Z2Y3|HOME1: 188082.453125
Q99104|MYO5A: 187951.41145833326
Q9DCN2|NB5R3: 187063.875
Q3UQ44|IQGA2: 186916.66666666666
O55023|IMPA1: 186455.94270833302
Q01149|CO1A2: 186000.0
Q9D7S9|CHMP5: 185087.5
Q9DBF1|AL7A1: 184197.015625
Q99KR7|PPIF: 183775.0
Q9Z0R4|ITSN1: 183452.02083333337
Q99LD4|CSN1: 183129.52864583326
P55066|NCAN: 182409.9322916665
Q6ZQ18|EFR3B: 181891.66666666666
P28474|ADHX: 181654.33854166674
Q99LI2|CLCC1: 181596.265625
P49722|PSA2: 181360.09375
P17156|HSP72: 180392.4791666665
Q3TDK6|ROGDI: 179836.17447916674
Q99L47|F10A1: 179666.90625
Q5PR73|DIRA2: 179061.3203125
O08709|PRDX6: 178630.91666666605
P12025|MK: 178312.5
Q8VDP6|CDIPT: 177966.66666666666
Q8BJI1|S6A17: 177685.3697916665
P85094|ISC2A: 177346.70052083326
P68040|RACK1: 176747.65104166674
P14148|RL7: 175184.2916666665
Q99KK7|DPP3: 173750.0
Q6A0A9|F120A: 173737.5
P31324|KAP3: 172947.19270833326
P97351|RS3A: 172287.453125
Q8BKX1|BAIP2: 171181.94270833326
P58771|TPM1: 170752.13281249988
Q9CQH3|NDUB5: 170397.7604166665
O55142|RL35A: 169770.83333333334
Q9QXY6|EHD3: 168598.13020833337
Q80TZ3|AUXI: 168507.0260416665
Q99JG2|ETBR2: 167738.41015624994
P98086|C1QA: 166895.83333333334
Q9CY58|PAIRB: 166547.06770833326
Q9WUR9|KAD4: 166355.0104166665
Q9EPU0|RENT1: 166141.66666666666
Q91XU3|PI42C: 165896.77083333337
Q9Z1W9|STK39: 165362.5
Q9DAS9|GBG12: 165015.453125
Q61234|SNTA1: 164616.66666666666
Q80VP1|EPN1: 164467.78125
P60867|RS20: 164109.4166666665
Q9DCU2|PLLP: 164055.55859375
Q8BH95|ECHM: 163754.42708333302
Q9D1G1|RAB1B: 163423.1875
P55258|RAB8A: 163337.5
P63005|LIS1: 162335.8958333335
P80315|TCPD: 162315.78125
Q8K394|PLCL2: 161020.83333333334
Q9Z2I0|LETM1: 161017.140625
Q9WV60|GSK3B: 160963.53125
P84096|RHOG: 160766.37760416674
Q99JF8|PSIP1: 160467.94270833337
P35283|RAB12: 159769.36197916674
P21460|CYTC: 159287.67447916674
