P10605|CATB: -17.99819681562247
Q9JM52|MINK1: -17.937204401087104
P62196|PRS8: -17.933703039653157
P62307|RUXF: -17.926202683070183
O35405|PLD3: -17.88903184928649
P47753|CAZA1: -17.88515092925234
Q6ZWV7|RL35: -17.87269823921276
Q3UHD9|AGAP2: -17.87267237290428
P67984|RL22: -17.855319429735246
O35927|CTND2: -17.837384186834807
Q8C7M3|TRIM9: -17.830378612468042
Q8R3V5|SHLB2: -17.826206755912928
Q80YN3|BCAS1: -17.81973711641758
P46935|NEDD4: -17.80637457386828
Q9D5V5|CUL5: -17.800547434319036
Q5XJY5|COPD: -17.710307004703708
Q9Z204|HNRPC: -17.685149560865923
Q9Z2W9|GRIA3: -17.67188961599085
Q8BKC5|IPO5: -17.65557318307744
Q6ZWV3|RL10: -17.604361232331062
Q9QYB1|CLIC4: -17.592386068919886
O08919|NUMBL: -17.590974184248214
Q80UG5|SEPT9: -17.579570329019987
Q60865|CAPR1: -17.56978727410765
P04627|ARAF: -17.56130264879411
Q924M7|MPI: -17.544819315618437
A2A432|CUL4B: -17.52591523381281
Q9WUM4|COR1C: -17.473468612996708
Q9CQF4|CF203: -17.41614429564443
Q62443|NPTX1: -17.4064711097039
Q9JMH6|TRXR1: -17.393389064800903
Q05512|MARK2: -17.366338065142983
Q60634|FLOT2: -17.361100739181957
P0C0A3|CHMP6: -17.356000756590124
Q9CPS6|HINT3: -17.34664207658524
P27601|GNA13: -17.33830799432108
Q921F2|TADBP: -17.29260078041334
Q8R016|BLMH: -17.273634492783792
P17809|GTR1: -17.270369410588273
Q8BH44|COR2B: -17.26674886082485
Q8BHZ0|FA49A: -17.264182619684654
Q61301|CTNA2: -17.230419582642774
Q9CZ30|OLA1: -17.22952460650808
P97461|RS5: -17.208220525423876
Q922Q1|MARC2: -17.19517203100587
Q80UU9|PGRC2: -17.164152286106013
Q9JI46|NUDT3: -17.1521776173139
Q9JI90|RNF14: -17.13868181756606
P70704|AT8A1: -17.09681490429527
P62911|RL32: -17.08086920227154
O70493|SNX12: -17.046850498327405
Q9QUR7|PIN1: -17.01574526750001
Q62093|SRSF2: -17.013135964573618
Q9D892|ITPA: -16.941318285103126
Q9CZD3|GARS: -16.90579496616872
Q3UGR5|HDHD2: -16.8502261029222
O35127|C10: -16.84353514277468
Q8R010|AIMP2: -16.830241315688642
Q8BVQ5|PPME1: -16.824908226587443
P53996|CNBP: -16.821783324748065
P40240|CD9: -16.817804690829224
Q64514|TPP2: -16.81340933884147
P55012|S12A2: -16.80572497801714
Q8C522|ENDD1: -16.774125975737924
P28740|KIF2A: -16.7304866377074
Q922D8|C1TC: -16.722060330963
Q9WUL7|ARL3: -16.707871601050805
O88544|CSN4: -16.69330249131861
P61021|RAB5B: -16.66336854179307
Q5U458|DJC11: -16.627852687326
Q99JY0|ECHB: -16.461747783235516
Q9CQ62|DECR: -16.461127557052784
P62320|SMD3: -16.442136089976927
A2RT62|FXL16: -16.42046796698926
Q8BXZ1|TMX3: -16.38650128649305
O88851|RBBP9: -16.376614929360404
Q6P1F6|2ABA: -16.372045280461194
Q80XI4|PI42B: -16.358420731570707
P06801|MAOX: -16.33488631239033
O35136|NCAM2: -16.323181039278357
P26369|U2AF2: -16.3191328978147
Q61481|PDE1A: -16.314950146755116
Q8CCT4|TCAL5: -16.30307400906549
P55302|AMRP: -16.258707957318933
P56375|ACYP2: -16.256607179296758
P0DP60|LYNX1: -16.207087487762276
Q80UP3|DGKZ: -16.187148012948924
Q91VZ6|SMAP1: -16.173284968993812
P62281|RS11: -16.164254742786618
P62627|DLRB1: -16.14410262847518
P62334|PRS10: -16.132719192710866
Q2NL51|GSK3A: -16.103931853666953
Q61545|EWS: -16.099885278825862
P32067|LA: -16.080876822220098
P97822|AN32E: -16.06083504742384
P62889|RL30: -16.01021075970456
P15116|CADH2: -16.005405264771017
P67871|CSK2B: -15.99099346584975
Q9CXU9|EIF1B: -15.982845160035723
Q5SRX1|TM1L2: -15.959053713369332
Q62283|TSN7: -15.941056532947284
Q8BXR1|S7A14: -15.916189873481123
P84104|SRSF3: -15.915052889018865
Q8CGC7|SYEP: -15.902803250695666
Q8R5J9|PRAF3: -15.898964752558602
G5E8K5|ANK3: -15.882266633659574
Q8BX70|VP13C: -15.878979625975628
Q8CHG7|RPGF2: -15.876927803081823
P28656|NP1L1: -15.8614729065517
Q8CBW3|ABI1: -15.835917066387164
Q922Q8|LRC59: -15.82798051772694
Q8BW75|AOFB: -15.819970254296608
Q6PH08|ERC2: -15.791527308770315
Q99KK2|NEUA: -15.785692167432437
Q80X50|UBP2L: -15.75530860933271
Q80YA9|CNKR2: -15.736074590788268
Q99MR8|MCCA: -15.722139444207505
P14131|RS16: -15.677342860945137
Q62442|VAMP1: -15.656501318422336
Q921J2|RHEB: -15.651751543010091
Q8BMJ2|SYLC: -15.627921483840517
Q9DBE8|ALG2: -15.62554820557334
Q9CX86|ROA0: -15.616112558874345
Q99J85|NPTXR: -15.569491945464852
Q3UHB1|NT5D3: -15.555703568025676
O88441|MTX2: -15.50176926838184
Q9CQN1|TRAP1: -15.46900358450246
Q9D023|MPC2: -15.407567533823975
Q64105|SPRE: -15.382840666272608
Q9DBG6|RPN2: -15.355100246722387
Q9QWI6|SRCN1: -15.353997847864608
P47791|GSHR: -15.330117427627988
Q8CGY8|OGT1: -15.329832960899545
Q99K51|PLST: -15.305444056147849
Q80T41|GABR2: -15.297929892565389
Q9CQ85|TIM22: -15.296578475056513
