Q8K0Z7|TACO1: -3.1803426647394053
O55186|CD59A: -3.1789872151265794
Q61029|LAP2B: -3.177847370491468
P51942|MATN1: -3.1758973300724707
Q5XJV6|LMTK3: -3.173611264526529
Q9CX00|IST1: -3.1732196490028404
O88703|HCN2: -3.1698465222194243
O35621|PMM1: -3.168150538202937
Q8BLI0|ATL1: -3.167576813752478
Q3UGY8|BIG3: -3.1665847531052713
Q9D8Y1|T126A: -3.163980741427796
Q9Z0U1|ZO2: -3.160201401193491
Q920Q4|VPS16: -3.159342656344032
Q9DBT5|AMPD2: -3.1577401069832134
Q9JIX9|FASTK: -3.148869739979594
Q9WV02|RBMX: -3.1410182155658224
Q9WTX6|CUL1: -3.137455934205064
Q3U487|HECD3: -3.1367864705948136
B2RXS4|PLXB2: -3.136711361025963
P97823|LYPA1: -3.1327012072868663
Q9Z2U2|ZN292: -3.132259627014929
Q02819|NUCB1: -3.1273571307955037
Q62413|EPHA6: -3.12254908869126
P58660|CAR10: -3.12173631337113
P39447|ZO1: -3.1208733689539825
F6ZDS4|TPR: -3.1192028663053866
Q80W47|WIPI2: -3.113189708953793
Q8CI32|BAG5: -3.11258491719012
Q9D868|PPIH: -3.111420039609143
P41731|CD63: -3.1099311227732924
P12023|A4: -3.109497021752765
Q6Q2Z6|ACOT5: -3.107188468811401
Q9EPL2|CSTN1: -3.106660234601236
P16332|MUTA: -3.1055665975058635
Q00896|A1AT3: -3.100981167985001
P14152|MDHC: -3.0934028810872216
P01887|B2MG: -3.089717818101135
P04919|B3AT: -3.08786115148151
Q3UNZ8|QORL2: -3.0771106015509555
P11352|GPX1: -3.0668653287328693
Q9D1I5|MCEE: -3.0665638716308057
Q8CIQ7|DOCK3: -3.065126400695122
Q8BJF9|CHM2B: -3.0629936540277676
P02463|CO4A1: -3.0611805512426904
P60824|CIRBP: -3.056384014786754
Q6VNS1|NTRK3: -3.051109310942388
P17665|COX7C: -3.0459897080271867
Q924D0|RT4I1: -3.0432837414171394
O55033|NCK2: -3.0414548646798787
O35350|CAN1: -3.041021797733363
P13542|MYH8: -3.0309048828620146
Q6ZPF3|TIAM2: -3.0263958036377416
Q9D312|K1C20: -3.025809239839674
Q6P1D5|SE6L1: -3.0242365433171376
Q80Y50|CMTA2: -3.019846103115477
Q9QZ08|NAGK: -3.0177106489244445
Q6P5F6|S39AA: -3.015738439461682
Q9D853|EFMT2: -3.015115600581147
P70207|PLXA2: -3.0135324534581964
Q9JHS3|LTOR2: -3.013352384074301
Q8BQZ4|RLGPB: -3.0129533013792535
C0HK79|ARXS1: -3.0110373115050235
Q9WU79|PROD: -3.010473123398913
Q9JLT4|TRXR2: -3.009254702564753
Q80SU7|GVIN1: -3.008931607170968
B1AVY7|KI16B: -3.008406816480367
P11679|K2C8: -3.0039378661219893
O35887|CALU: -2.9944135873313114
Q6PDG5|SMRC2: -2.99430859612153
Q8BJH1|ZC21A: -2.992859373099749
Q9D404|OXSM: -2.990250191554368
P03995|GFAP: -2.9897578330830274
Q9EP53|TSC1: -2.989096985661036
Q8R123|FAD1: -2.9886107714458774
Q9CQY6|UQCC2: -2.9837502669247686
Q6RHR9|MAGI1: -2.9804748187919894
P17879|HS71B: -2.980132829600737
Q921V5|MGAT2: -2.9790111385482194
Q61578|ADRO: -2.9774540082892083
P22682|CBL: -2.977166606428428
P20060|HEXB: -2.975479540755653
Q9D7X1|KCTD4: -2.975050896448428
P48193|41: -2.969184175676059
Q80TA9|EPG5: -2.9684762962329048
P57784|RU2A: -2.9670643847110294
Q60770|STXB3: -2.9666265804929073
Q920Q6|MSI2H: -2.9647080521958884
Q05D44|IF2P: -2.963514809803101
Q6IR42|ZCPW1: -2.96277402911971
Q9Z275|RLBP1: -2.9622879586117943
Q9DCC8|TOM20: -2.9614036947186957
Q8K2Q7|BROX: -2.9596485110561908
Q69ZP3|PNKD: -2.957657497989989
P62309|RUXG: -2.954920603632043
Q9DCP2|S38A3: -2.9545810563988772
Q6DFW4|NOP58: -2.949930771056977
Q7TN98|CPEB4: -2.944951968472317
P09240|CCKN: -2.94469312642233
Q04899|CDK18: -2.9436630492826255
P30999|CTND1: -2.940758162567435
Q7JJ13|BRD2: -2.9378545392094297
Q80W04|TMCC2: -2.937671600771286
Q9WUA6|AKT3: -2.937006644810326
P27661|H2AX: -2.9370032944790117
P16330|CN37: -2.9344102097500557
Q6P3A8|ODBB: -2.92717588596725
P15379|CD44: -2.9253471105193727
Q9DCV7|K2C7: -2.921612216752103
Q62172|RBP1: -2.9198132911126855
Q8BMJ3|IF1AX: -2.9033560717808675
Q9Z1F9|SAE2: -2.903042334209481
P97445|CAC1A: -2.9028320743469647
Q3TQQ9|CA112: -2.897128344899518
E9Q4Z2|ACACB: -2.885600516913606
Q80VQ0|AL3B1: -2.881305589309076
Q9JLR1|S61A2: -2.8803853969815356
Q69ZW3|EHBP1: -2.871977795269468
Q8K406|LGI3: -2.8702883808257433
Q8JZW4|CPNE5: -2.8680531910944995
A2ASZ8|SCMC2: -2.8670955235282856
Q8BX10|PGAM5: -2.8659965810840697
Q6NVF0|OCRL: -2.864707125265758
P28665|MUG1: -2.8560886839135913
Q8VEE0|RPE: -2.8526739245672417
Q7TN99|CPEB3: -2.851134153339909
A2A5R2|BIG2: -2.837253155213295
Q05A62|DNAL1: -2.83632363145692
Q9JKS5|HABP4: -2.83044177023194
Q6PD03|2A5A: -2.8288203048264324
Q8BLN6|UNC80: -2.8244417365664196
Q8C0P5|COR2A: -2.822682822325338
P43006|EAA2: -2.821773528684572
Q9WUU7|CATZ: -2.8194373739825975
Q9DB34|CHM2A: -2.817834280385336
Q9CS42|PRPS2: -2.8081087461792937
Q5DTY9|KCD16: -2.8064709405892225
Q3TTY5|K22E: -2.7914222751354183
Q9WVG9|MS3L1: -2.785210350531011
Q7M6Y3|PICAL: -2.777952300824373
Q9QZ73|DCNL1: -2.7775173999040006
Q8C3W1|CA198: -2.7762977467875802
Q8R0H9|GGA1: -2.774959109619509
Q8BRK8|AAPK2: -2.7736746576574727
Q8K353|CYTM1: -2.77128260272495
Q8BYH7|TBC17: -2.7542000261659174
Q8K3G9|DP13B: -2.7521537586080376
P63143|KCAB1: -2.7507396621775326
P49813|TMOD1: -2.7436587600284605
Q69ZF3|GBA2: -2.7404897714321903
Q3V3Q7|PACS2: -2.7400534946993296
Q9R0U0|SRS10: -2.7391936951758584
E9Q7X7|NRX2A: -2.737336889845907
O89086|RBM3: -2.7291665825317666
Q8CI95|OSB11: -2.7246756384405297
Q9EQZ7|RIMS2: -2.7148197981196596
Q03265|ATPA: -2.714713522081879
P60764|RAC3: -2.714065294593605
Q8R550|SH3K1: -2.7095496391745675
Q9R0N0|GALK1: -2.703381097243201
Q8BG92|CLVS2: -2.702351682004185
Q80TQ2|CYLD: -2.6996230162171155
Q3UU96|MRCKA: -2.698902185369752
P0C5E4|PTPRQ: -2.6982901274483453
P33175|KIF5A: -2.692793376680642
Q91YS8|KCC1A: -2.6923139419009923
Q80XJ3|TTC28: -2.69208763028979
O09044|SNP23: -2.690130010823072
P43277|H13: -2.68792340182123
P21550|ENOB: -2.6872068082049023
Q5NCF2|TPPC1: -2.685341070930135
Q3UUQ7|PGAP1: -2.685158722358055
Q9JKV2|ICK: -2.684631658011051
Q9CXT8|MPPB: -2.684510715699681
Q3TLH4|PRC2C: -2.6721332530922064
Q9Z0F7|SYUG: -2.671583221129023
P28571|SC6A9: -2.6669779312902997
Q9CRC0|VKOR1: -2.662406737850416
P62983|RS27A: -2.6521080258968985
Q3UJB9|EDC4: -2.650081729341432
Q61220|NELL2: -2.6477206368333777
Q6IFX2|K1C42: -2.639153212475526
Q62186|SSRD: -2.6391501244319997
Q9DBG5|PLIN3: -2.6386477874566934
Q6IR34|GPSM1: -2.6361872776945967
Q80TY0|FNBP1: -2.635048714026134
P68369|TBA1A: -2.634387231673695
Q60967|PAPS1: -2.6316510260657653
D3YZP9|CCDC6: -2.630285252041497
P02535|K1C10: -2.6291692175641175
Q9EQK5|MVP: -2.625694096603747
Q3UV70|PDP1: -2.6231092266281837
Q61239|FNTA: -2.6203782498579065
Q99MZ6|MYO7B: -2.610131540491269
Q7TSH3|ZN516: -2.6083289930122344
P56212|ARP19: -2.607016652966695
Q8VCH8|UBXN4: -2.5978980877432094
O35900|LSM2: -2.5948556779563217
O35681|SYT3: -2.594662709781704
P24549|AL1A1: -2.5910266988293507
P35290|RAB24: -2.5869541030504783
P16627|HS71L: -2.5718787117437247
P97372|PSME2: -2.5689902879581354
O35114|SCRB2: -2.5654756429003425
Q3TDQ1|STT3B: -2.552329320854191
Q3UDP0|WDR41: -2.53100425160726
Q99KP3|CRYL1: -2.5247467990206487
B2RY50|ARMC4: -2.4818326039767094
Q8BGR6|ARL15: -2.4717857735236515
P26043|RADI: -2.4652456491019854
Q9CPS8|SMAKA: -2.463080392674283
P08226|APOE: -2.4472852167163026
Q8BT60|CPNE3: -2.444686514600105
Q8K0X8|FEZ1: -2.444190395771534
Q922U2|K2C5: -2.4423318176974127
A2APX8|SCN1A: -2.440255182875751
Q69ZK7|F214A: -2.4349902225520497
Q80YQ2|MED23: -2.4320257831302703
Q91W43|GCSP: -2.4306139655733268
Q78J03|MSRB2: -2.430060143625787
Q8CCJ4|AMER2: -2.4287896081439375
Q8C878|UBA3: -2.4268903310138588
Q9WTU3|SCN8A: -2.4265512274860095
G5E872|RNPL1: -2.4223920597555373
Q9R112|SQOR: -2.4204560398335495
Q9CRC8|LRC40: -2.417829892542948
Q9ESZ8|GTF2I: -2.4172399649785055
Q9CW03|SMC3: -2.4056827264911624
O55229|CHKB: -2.404250237639576
P62313|LSM6: -2.4034667012087447
Q9D8U8|SNX5: -2.4005078301929665
Q80U57|RIMS3: -2.395503002523469
Q59J78|NDUF2: -2.3948473816976628
Q9D7P6|ISCU: -2.388421280323434
Q5SSZ5|TENS3: -2.385913616295288
P70699|LYAG: -2.383491311910024
Q99J83|ATG5: -2.3829161954146545
Q5IRJ6|ZNT9: -2.379652674471366
P97789|XRN1: -2.3743211483915534
Q3UHC7|DAB2P: -2.3727663000815764
Q9CQ22|LTOR1: -2.355784976522726
Q7TNV0|DEK: -2.352555318530462
Q91YX5|LGAT1: -2.3516964114798236
P11438|LAMP1: -2.3443110870812967
O54781|SRPK2: -2.344238490654276
Q3URD3|SLMAP: -2.344182402148382
Q8BPQ7|SGSM1: -2.3436644489127447
Q8BYA0|TBCD: -2.337018891457674
Q6NVG1|LPCT4: -2.3047039842360264
P62843|RS15: -2.303351741070906
Q3TBL6|TP8L3: -2.298375625317268
Q8R4E6|PURG: -2.2926187797496698
P17047|LAMP2: -2.2905596733752054
Q6P9Q6|FKB15: -2.2898058540164192
Q9DAW9|CNN3: -2.285614809879076
P54726|RD23A: -2.2756647800979373
Q61838|PZP: -2.272955423722603
Q64436|ATP4A: -2.248179938109492
O88531|PPT1: -2.228016768186308
Q9EQP2|EHD4: -2.216055367444121
Q9ER88|RT29: -2.212044108508139
Q91ZR1|RAB4B: -2.173611609570759
Q9QXZ0|MACF1: -2.169450460584542
Q0GGX2|ZN541: -2.1579627290254764
Q9JKL4|NDUF3: -2.156619464536823
Q8R3B1|PLCD1: -2.1492352430301738
Q6KAR6|EXOC3: -2.1424329133784137
O88196|TTC3: -2.132579033169984
P10833|RRAS: -2.131635158066511
P45952|ACADM: -2.126157368243964
Q3KNM2|MARH5: -2.1189204579025382
P63115|AAA1: -2.1137929228666947
Q80TF6|STAR9: -2.109678072101526
Q9ERL9|GCYA1: -2.09552281065876
Q6NS82|RETR2: -2.0922766993572397
Q920P3|BRNP1: -2.0845661556138375
Q3UMT1|PP12C: -2.083556074222812
P70182|PI51A: -2.0797080982606833
O35343|IMA3: -2.0778707834225303
Q8C650|SEP10: -2.0701872920711994
Q9CQ79|TXND9: -2.06367180852885
P97478|COQ7: -2.0598926432028093
Q99KW9|TIP: -2.058159422267646
Q8BHW2|OSCP1: -2.048285024233274
Q9R0Q9|MPU1: -2.0460523407021634
P18242|CATD: -2.0310058282721872
Q9Z0H8|CLIP2: -2.017386967498269
P17742|PPIA: -2.012647378106144
Q8K4P0|WDR33: -2.008118331711023
Q64442|DHSO: -2.005486239679904
Q64331|MYO6: -2.0038322742763772
P62806|H4: -1.9906133613758061
Q8K3W0|BABA2: -1.967337125914425
Q9ERE2|KRT81: -1.964908428004358
P35802|GPM6A: -1.95123296168422
Q99KF1|TMED9: -1.9434287150451748
